,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
m_base,0.9398559698428686,0.261179988462736,0.012551230579268732,0.5444675807378678,1.4923333291692686,167.34346392157454,1.0021460743858153
f__0,-11.641733957065057,20.3922868438718,1.438764710074412,-45.01297550454246,1.3748227251176313,2.8672753631082775,1.3211640248902676
f__1,28.371724742547904,44.15659110667191,3.093047999830323,-5.474201216225009,124.80464582120392,1.871537577303887,1.5528513346149027
f__2,-27.236532952118782,34.56204406105415,2.7734280261778887,-96.57799291782676,1.5456878871999742,1.4324340675327183,1.9386526845384446
f__3,-64.6583316406915,83.86007742116657,6.623466859171789,-232.06917936483143,2.8282876333334133,1.4624179974021352,1.888302010707054
f__4,9.86712764106423,19.057195630654885,1.2149158435228686,-3.093954454042485,45.55828850365975,2.80333928669434,1.3273979542405303
f__5,-13.155954036689335,20.90152781168231,1.3857792866873482,-59.19039928367662,1.7934418011379334,2.1903602342136943,1.4312831628985228
f__6,-128.19536149957563,157.6163099432446,12.56487794379737,-439.444020027587,0.7600808026637105,1.4582295844161277,1.9045360629306551
f__7,-25.697096776219986,45.72194246875957,3.408402184445948,-96.6153445271689,1.5921663101800352,2.537637887604946,1.3616748328369046
f__8,93.71261785453213,119.03704015256305,10.056235141708045,-1.8017650370126381,311.59947376444387,1.4034060886157294,2.012972745626565
f__9,7.581238408389585,15.554016837001857,1.0768642793380643,-2.111382754713618,38.4350128857496,3.3069002499906928,1.270315379636454
f__10,9.125823616610738,16.305484942347565,1.025470785437444,-4.2988759971241395,44.72735715993995,2.3109704893992937,1.4008370908209844
f__11,20.163256468578105,28.0125735424619,2.1180051564466664,-1.3539255733529134,74.49908670645355,1.6994475946021832,1.6691292991631337
f__12,69.6687007362724,95.46826686428814,7.813232187361018,-2.0983139661057524,236.10939327440713,1.5782532440142927,1.7844243228771817
f__13,14.344451474423172,25.421401391858037,1.5816494534202012,-3.40422361559353,69.64153126759493,2.295985266869792,1.4059993384917868
f__14,-33.31536784462355,49.82172441761295,3.5871271175124932,-120.44085851490465,1.053023000188075,1.926875362295833,1.538222461625447
f__15,-47.818068930066175,67.64330725131559,5.278029795090658,-172.08203448455563,2.0027717620304077,1.669742916921075,1.6900227248890534
f__16,10.866828682515896,16.718161755466326,1.169084322815501,-2.8906080743505314,45.71948950657922,1.8487531592631294,1.5523571515214616
f__17,-16.3443529184726,23.690253798047657,1.6967191392663732,-65.77668017220577,1.725726516227509,1.730103576293815,1.6328620733044024
f__18,38.23668037472739,50.80581657943041,4.05016272982259,-2.6214021197731334,141.7336079710113,1.5238801631030285,1.8198054674955142
f__19,-49.08357646560056,67.00758496523939,5.30537066700543,-178.25940219181882,0.6977336450334848,1.6126735254011857,1.741243178565837
f__20,-64.88622389521825,91.79259280274249,7.3850140366926365,-222.9775315277845,0.9048988373044232,1.6753003147216279,1.686395960593496
f__21,-31.323131755405363,43.795378820579494,3.3354291808744945,-112.12814897091943,1.2224589552379794,1.7752570710531423,1.6238432679398427
f__22,48.948318469306244,71.2054537995262,5.589568351533646,-1.8108435581741695,178.6970545660291,1.712378672852048,1.6593962482764057
f__23,-68.12913246192004,92.31295053805117,7.535550182167816,-227.88101016019743,1.8510770904298046,1.5702564139849995,1.787289585931775
f__24,-43.19801314348264,71.37745331481929,5.5685813997957165,-148.7774769356636,0.4888510673074416,2.264802967108462,1.4277390084299977
f__25,-34.021864187018686,49.98144683655289,3.5566469572364605,-143.38616319271762,2.3119546459974805,1.8008635046132164,1.5909526136197143
f__26,-78.40150687519201,100.83440844070601,8.202300159592722,-268.3168941000063,2.137132268355561,1.4362542507114884,1.9483589862940163
f__27,-83.08800873585328,115.92727518521939,9.335854015995555,-274.6241472212024,0.8929570657515249,1.6903742339297558,1.6797850298130617
